race,hispan,age_group_5yr,sex,n,weighted
1,0,0-4,1,172405,17357042
1,0,0-4,2,164494,16496071
1,0,5-9,1,194265,19240746
1,0,5-9,2,184013,18260725
1,0,10-14,1,210260,20757808
1,0,10-14,2,198379,19632661
1,0,15-19,1,239053,22153929
1,0,15-19,2,228269,20957742
1,0,20-24,1,213037,23130821
1,0,20-24,2,198852,21822146
1,0,25-29,1,217929,23430895
1,0,25-29,2,209206,22430621
1,0,30-34,1,247431,24895765
1,0,30-34,2,239408,24180265
1,0,35-39,1,249974,24927695
1,0,35-39,2,243645,24197700
1,0,40-44,1,245554,24307635
1,0,40-44,2,238799,23563604
1,0,45-49,1,230075,22263502
1,0,45-49,2,226948,21713790
1,0,50-54,1,263645,24865709
1,0,50-54,2,267208,24294758
1,0,55-59,1,295850,25911043
1,0,55-59,2,309780,25916753
1,0,60-64,1,345270,28893102
1,0,60-64,2,369492,29783045
1,0,65-69,1,342211,25569209
1,0,65-69,2,372049,27455134
1,0,70-74,1,299034,21929914
1,0,70-74,2,331057,24224755
1,0,75-79,1,220027,15316819
1,0,75-79,2,251186,18058972
1,0,80+,1,231853,16123348
1,0,80+,2,332467,23638861
1,1,0-4,1,9488,1274201
1,1,0-4,2,8971,1209751
1,1,5-9,1,10036,1261816
1,1,5-9,2,9898,1264456
1,1,10-14,1,10751,1347968
1,1,10-14,2,10345,1307902
1,1,15-19,1,12032,1338484
1,1,15-19,2,11754,1292379
1,1,20-24,1,10705,1234541
1,1,20-24,2,11235,1338453
1,1,25-29,1,9617,1135136
1,1,25-29,2,10325,1217182
1,1,30-34,1,8550,1028830
1,1,30-34,2,9242,1102472
1,1,35-39,1,7280,922939
1,1,35-39,2,7887,943858
1,1,40-44,1,6407,804570
1,1,40-44,2,7094,861086
1,1,45-49,1,5470,664526
1,1,45-49,2,6047,670626
1,1,50-54,1,4844,551145
1,1,50-54,2,5687,598013
1,1,55-59,1,4246,448906
1,1,55-59,2,4988,491953
1,1,60-64,1,3766,379477
1,1,60-64,2,4386,408139
1,1,65-69,1,3169,281492
1,1,65-69,2,3773,324088
1,1,70-74,1,2481,219293
1,1,70-74,2,2950,258293
1,1,75-79,1,1681,138645
1,1,75-79,2,2062,177897
1,1,80+,1,1805,142678
1,1,80+,2,2764,222272
1,2,0-4,1,1462,195245
1,2,0-4,2,1398,189594
1,2,5-9,1,1561,202796
1,2,5-9,2,1410,181670
1,2,10-14,1,1604,203820
1,2,10-14,2,1570,198255
1,2,15-19,1,1690,192088
1,2,15-19,2,1724,189000
1,2,20-24,1,1550,180432
1,2,20-24,2,1653,202672
1,2,25-29,1,1563,186334
1,2,25-29,2,1671,192085
1,2,30-34,1,1533,192751
1,2,30-34,2,1662,194132
1,2,35-39,1,1289,166192
1,2,35-39,2,1473,181096
