race_ethnicity,age_group_5yr,sex,statefip,n,weighted
"White, Not Hispanic/Latino",0-4,Female,1,2984,309916
"White, Not Hispanic/Latino",0-4,Female,2,272,36986
"White, Not Hispanic/Latino",0-4,Female,4,2409,278902
"White, Not Hispanic/Latino",0-4,Female,5,2012,206801
"White, Not Hispanic/Latino",0-4,Female,6,8500,986130
"White, Not Hispanic/Latino",0-4,Female,8,3146,291828
"White, Not Hispanic/Latino",0-4,Female,9,1880,165001
"White, Not Hispanic/Latino",0-4,Female,10,393,46142
"White, Not Hispanic/Latino",0-4,Female,11,296,22793
"White, Not Hispanic/Latino",0-4,Female,12,6950,858350
"White, Not Hispanic/Latino",0-4,Female,13,5052,490812
"White, Not Hispanic/Latino",0-4,Female,15,167,21003
"White, Not Hispanic/Latino",0-4,Female,16,1492,149526
"White, Not Hispanic/Latino",0-4,Female,17,7353,648876
"White, Not Hispanic/Latino",0-4,Female,18,5083,520658
"White, Not Hispanic/Latino",0-4,Female,19,2727,262614
"White, Not Hispanic/Latino",0-4,Female,20,2215,216424
"White, Not Hispanic/Latino",0-4,Female,21,3574,379364
"White, Not Hispanic/Latino",0-4,Female,22,2357,258225
"White, Not Hispanic/Latino",0-4,Female,23,885,100932
"White, Not Hispanic/Latino",0-4,Female,24,2779,252563
"White, Not Hispanic/Latino",0-4,Female,25,3695,347532
"White, Not Hispanic/Latino",0-4,Female,26,6376,660788
"White, Not Hispanic/Latino",0-4,Female,27,4452,408744
"White, Not Hispanic/Latino",0-4,Female,28,1492,156749
"White, Not Hispanic/Latino",0-4,Female,29,4715,473146
"White, Not Hispanic/Latino",0-4,Female,30,769,82055
"White, Not Hispanic/Latino",0-4,Female,31,1625,151523
"White, Not Hispanic/Latino",0-4,Female,32,922,93174
"White, Not Hispanic/Latino",0-4,Female,33,882,98219
"White, Not Hispanic/Latino",0-4,Female,34,4407,409427
"White, Not Hispanic/Latino",0-4,Female,35,375,46355
"White, Not Hispanic/Latino",0-4,Female,36,10237,914026
"White, Not Hispanic/Latino",0-4,Female,37,5430,544799
"White, Not Hispanic/Latino",0-4,Female,38,718,66342
"White, Not Hispanic/Latino",0-4,Female,39,8619,860172
"White, Not Hispanic/Latino",0-4,Female,40,1752,218798
"White, Not Hispanic/Latino",0-4,Female,41,2231,224076
"White, Not Hispanic/Latino",0-4,Female,42,8583,806295
"White, Not Hispanic/Latino",0-4,Female,44,453,49827
"White, Not Hispanic/Latino",0-4,Female,45,2943,290556
"White, Not Hispanic/Latino",0-4,Female,46,757,74680
"White, Not Hispanic/Latino",0-4,Female,47,4809,485789
"White, Not Hispanic/Latino",0-4,Female,48,10383,1064778
"White, Not Hispanic/Latino",0-4,Female,49,3297,297947
"White, Not Hispanic/Latino",0-4,Female,50,413,46469
"White, Not Hispanic/Latino",0-4,Female,51,4602,460865
"White, Not Hispanic/Latino",0-4,Female,53,4018,399264
"White, Not Hispanic/Latino",0-4,Female,54,1267,149296
"White, Not Hispanic/Latino",0-4,Female,55,4506,406830
"White, Not Hispanic/Latino",0-4,Female,56,426,42745
"White, Not Hispanic/Latino",0-4,Male,1,3213,318892
"White, Not Hispanic/Latino",0-4,Male,2,268,40210
"White, Not Hispanic/Latino",0-4,Male,4,2544,295618
"White, Not Hispanic/Latino",0-4,Male,5,1978,216113
"White, Not Hispanic/Latino",0-4,Male,6,9011,1033985
"White, Not Hispanic/Latino",0-4,Male,8,3360,305409
"White, Not Hispanic/Latino",0-4,Male,9,1948,172642
"White, Not Hispanic/Latino",0-4,Male,10,385,47286
"White, Not Hispanic/Latino",0-4,Male,11,303,22651
"White, Not Hispanic/Latino",0-4,Male,12,7204,890763
"White, Not Hispanic/Latino",0-4,Male,13,5347,510992
"White, Not Hispanic/Latino",0-4,Male,15,194,20146
"White, Not Hispanic/Latino",0-4,Male,16,1647,162316
"White, Not Hispanic/Latino",0-4,Male,17,7742,684448
"White, Not Hispanic/Latino",0-4,Male,18,5367,547212
"White, Not Hispanic/Latino",0-4,Male,19,2814,277384
"White, Not Hispanic/Latino",0-4,Male,20,2273,226697
"White, Not Hispanic/Latino",0-4,Male,21,3702,400829
"White, Not Hispanic/Latino",0-4,Male,22,2546,268569
"White, Not Hispanic/Latino",0-4,Male,23,906,106386
"White, Not Hispanic/Latino",0-4,Male,24,2853,265775
"White, Not Hispanic/Latino",0-4,Male,25,3894,364905
"White, Not Hispanic/Latino",0-4,Male,26,6910,700371
"White, Not Hispanic/Latino",0-4,Male,27,4727,429297
"White, Not Hispanic/Latino",0-4,Male,28,1575,170779
"White, Not Hispanic/Latino",0-4,Male,29,5019,499087
"White, Not Hispanic/Latino",0-4,Male,30,745,88159
"White, Not Hispanic/Latino",0-4,Male,31,1661,158774
