raceth,age_group_5yr,sex,statefip,n,weighted
White Non-Hispanic,0-4,NA,1,6197,628808
White Non-Hispanic,0-4,NA,2,540,77196
White Non-Hispanic,0-4,NA,4,4953,574520
White Non-Hispanic,0-4,NA,5,3990,422914
White Non-Hispanic,0-4,NA,6,17511,2020115
White Non-Hispanic,0-4,NA,8,6506,597237
White Non-Hispanic,0-4,NA,9,3828,337643
White Non-Hispanic,0-4,NA,10,778,93428
White Non-Hispanic,0-4,NA,11,599,45444
White Non-Hispanic,0-4,NA,12,14154,1749113
White Non-Hispanic,0-4,NA,13,10399,1001804
White Non-Hispanic,0-4,NA,15,361,41149
White Non-Hispanic,0-4,NA,16,3139,311842
White Non-Hispanic,0-4,NA,17,15095,1333324
White Non-Hispanic,0-4,NA,18,10450,1067870
White Non-Hispanic,0-4,NA,19,5541,539998
White Non-Hispanic,0-4,NA,20,4488,443121
White Non-Hispanic,0-4,NA,21,7276,780193
White Non-Hispanic,0-4,NA,22,4903,526794
White Non-Hispanic,0-4,NA,23,1791,207318
White Non-Hispanic,0-4,NA,24,5632,518338
White Non-Hispanic,0-4,NA,25,7589,712437
White Non-Hispanic,0-4,NA,26,13286,1361159
White Non-Hispanic,0-4,NA,27,9179,838041
White Non-Hispanic,0-4,NA,28,3067,327528
White Non-Hispanic,0-4,NA,29,9734,972233
White Non-Hispanic,0-4,NA,30,1514,170214
White Non-Hispanic,0-4,NA,31,3286,310297
White Non-Hispanic,0-4,NA,32,1855,188207
White Non-Hispanic,0-4,NA,33,1781,199718
White Non-Hispanic,0-4,NA,34,9023,848178
White Non-Hispanic,0-4,NA,35,802,94520
White Non-Hispanic,0-4,NA,36,20814,1873697
White Non-Hispanic,0-4,NA,37,11001,1136160
White Non-Hispanic,0-4,NA,38,1468,136982
White Non-Hispanic,0-4,NA,39,17581,1770071
White Non-Hispanic,0-4,NA,40,3631,453368
White Non-Hispanic,0-4,NA,41,4545,460626
White Non-Hispanic,0-4,NA,42,17821,1656974
White Non-Hispanic,0-4,NA,44,937,104253
White Non-Hispanic,0-4,NA,45,6093,597463
White Non-Hispanic,0-4,NA,46,1556,154265
White Non-Hispanic,0-4,NA,47,9718,994757
White Non-Hispanic,0-4,NA,48,21211,2190626
White Non-Hispanic,0-4,NA,49,6753,609099
White Non-Hispanic,0-4,NA,50,883,95155
White Non-Hispanic,0-4,NA,51,9401,944806
White Non-Hispanic,0-4,NA,53,8230,816446
White Non-Hispanic,0-4,NA,54,2531,301517
White Non-Hispanic,0-4,NA,55,9170,832193
White Non-Hispanic,0-4,NA,56,882,89509
White Non-Hispanic,5-9,NA,1,6758,674405
White Non-Hispanic,5-9,NA,2,634,93858
White Non-Hispanic,5-9,NA,4,6173,639309
White Non-Hispanic,5-9,NA,5,4588,473871
White Non-Hispanic,5-9,NA,6,19768,2160364
White Non-Hispanic,5-9,NA,8,7472,708661
White Non-Hispanic,5-9,NA,9,4022,397442
White Non-Hispanic,5-9,NA,10,892,100089
White Non-Hispanic,5-9,NA,11,399,34514
White Non-Hispanic,5-9,NA,12,16474,1887733
White Non-Hispanic,5-9,NA,13,11538,1113748
White Non-Hispanic,5-9,NA,15,453,52851
White Non-Hispanic,5-9,NA,16,3784,371117
White Non-Hispanic,5-9,NA,17,16787,1503989
White Non-Hispanic,5-9,NA,18,11836,1173985
White Non-Hispanic,5-9,NA,19,6200,600342
White Non-Hispanic,5-9,NA,20,4932,484056
White Non-Hispanic,5-9,NA,21,8282,844832
White Non-Hispanic,5-9,NA,22,5361,573228
White Non-Hispanic,5-9,NA,23,2058,238715
White Non-Hispanic,5-9,NA,24,6311,563883
White Non-Hispanic,5-9,NA,25,8143,812872
White Non-Hispanic,5-9,NA,26,15088,1490168
White Non-Hispanic,5-9,NA,27,10560,925459
White Non-Hispanic,5-9,NA,28,3303,348340
White Non-Hispanic,5-9,NA,29,11147,1070593
White Non-Hispanic,5-9,NA,30,1889,203834
White Non-Hispanic,5-9,NA,31,3681,343429
White Non-Hispanic,5-9,NA,32,2179,237998
White Non-Hispanic,5-9,NA,33,2002,217105
White Non-Hispanic,5-9,NA,34,9574,935878
White Non-Hispanic,5-9,NA,35,1026,116563
