year,race_ethnicity,n_offenders
2021,"American Indian or Alaska Native, Not Hispanic/Latino",4
2021,"Asian, Not Hispanic/Latino",10
2021,"Black or African American, Hispanic/Latino",2
2021,"Black or African American, Not Hispanic/Latino",93
2021,"NA, Hispanic/Latino",1
2021,"NA, NA",131
2021,"Native Hawaiian or Other Pacific Islander, Hispanic/Latino",1
2021,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",5
2021,"White, Hispanic/Latino",158
2021,"White, Not Hispanic/Latino",127
2022,"American Indian or Alaska Native, Not Hispanic/Latino",6
2022,"Asian, Not Hispanic/Latino",24
2022,"Black or African American, Hispanic/Latino",3
2022,"Black or African American, Not Hispanic/Latino",196
2022,"NA, NA",196
2022,"NA, Not Hispanic/Latino",8
2022,"Native Hawaiian or Other Pacific Islander, Hispanic/Latino",2
2022,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",3
2022,"White, Hispanic/Latino",298
2022,"White, Not Hispanic/Latino",251
2023,"American Indian or Alaska Native, Not Hispanic/Latino",7
2023,"Asian, Not Hispanic/Latino",38
2023,"Black or African American, Hispanic/Latino",2
2023,"Black or African American, Not Hispanic/Latino",292
2023,"NA, NA",248
2023,"NA, Not Hispanic/Latino",14
2023,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",7
2023,"White, Hispanic/Latino",437
2023,"White, Not Hispanic/Latino",414
2024,"American Indian or Alaska Native, Not Hispanic/Latino",4
2024,"Asian, Not Hispanic/Latino",47
2024,"Black or African American, Hispanic/Latino",3
2024,"Black or African American, Not Hispanic/Latino",290
2024,"NA, Hispanic/Latino",1
2024,"NA, NA",231
2024,"NA, Not Hispanic/Latino",16
2024,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",7
2024,"White, Hispanic/Latino",411
2024,"White, Not Hispanic/Latino",358
