year,race_ethnicity,n_victims
2021,"American Indian or Alaska Native, Not Hispanic/Latino",4
2021,"Asian, Not Hispanic/Latino",12
2021,"Black or African American, Hispanic/Latino",2
2021,"Black or African American, Not Hispanic/Latino",95
2021,"NA, NA",9
2021,"NA, Not Hispanic/Latino",3
2021,"White, Hispanic/Latino",142
2021,"White, Not Hispanic/Latino",134
2022,"American Indian or Alaska Native, Not Hispanic/Latino",6
2022,"Asian, Hispanic/Latino",1
2022,"Asian, Not Hispanic/Latino",28
2022,"Black or African American, Hispanic/Latino",3
2022,"Black or African American, Not Hispanic/Latino",129
2022,"NA, NA",32
2022,"NA, Not Hispanic/Latino",5
2022,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",3
2022,"White, Hispanic/Latino",286
2022,"White, Not Hispanic/Latino",250
2023,"American Indian or Alaska Native, Not Hispanic/Latino",3
2023,"Asian, Hispanic/Latino",2
2023,"Asian, Not Hispanic/Latino",78
2023,"Black or African American, Hispanic/Latino",1
2023,"Black or African American, Not Hispanic/Latino",223
2023,"NA, Hispanic/Latino",4
2023,"NA, NA",23
2023,"NA, Not Hispanic/Latino",17
2023,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",7
2023,"White, Hispanic/Latino",416
2023,"White, Not Hispanic/Latino",334
2024,"American Indian or Alaska Native, Not Hispanic/Latino",1
2024,"Asian, Not Hispanic/Latino",79
2024,"Black or African American, Hispanic/Latino",1
2024,"Black or African American, Not Hispanic/Latino",221
2024,"NA, Hispanic/Latino",1
2024,"NA, NA",28
2024,"NA, Not Hispanic/Latino",10
2024,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",5
2024,"White, Hispanic/Latino",375
2024,"White, Not Hispanic/Latino",344
