year,race_ethnicity,n_victims,n_offenders
2021,"American Indian or Alaska Native, Not Hispanic/Latino",4,4
2021,"Asian, Not Hispanic/Latino",12,10
2021,"Black or African American, Hispanic/Latino",2,2
2021,"Black or African American, Not Hispanic/Latino",95,93
2021,"NA, Hispanic/Latino",0,1
2021,"NA, NA",9,131
2021,"NA, Not Hispanic/Latino",3,0
2021,"Native Hawaiian or Other Pacific Islander, Hispanic/Latino",0,1
2021,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",0,5
2021,"White, Hispanic/Latino",142,158
2021,"White, Not Hispanic/Latino",134,127
2022,"American Indian or Alaska Native, Not Hispanic/Latino",6,6
2022,"Asian, Hispanic/Latino",1,0
2022,"Asian, Not Hispanic/Latino",28,24
2022,"Black or African American, Hispanic/Latino",3,3
2022,"Black or African American, Not Hispanic/Latino",129,196
2022,"NA, NA",32,196
2022,"NA, Not Hispanic/Latino",5,8
2022,"Native Hawaiian or Other Pacific Islander, Hispanic/Latino",0,2
2022,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",3,3
2022,"White, Hispanic/Latino",286,298
2022,"White, Not Hispanic/Latino",250,251
2023,"American Indian or Alaska Native, Not Hispanic/Latino",3,7
2023,"Asian, Hispanic/Latino",2,0
2023,"Asian, Not Hispanic/Latino",78,38
2023,"Black or African American, Hispanic/Latino",1,2
2023,"Black or African American, Not Hispanic/Latino",223,292
2023,"NA, Hispanic/Latino",4,0
2023,"NA, NA",23,248
2023,"NA, Not Hispanic/Latino",17,14
2023,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",7,7
2023,"White, Hispanic/Latino",416,437
2023,"White, Not Hispanic/Latino",334,414
2024,"American Indian or Alaska Native, Not Hispanic/Latino",1,4
2024,"Asian, Not Hispanic/Latino",79,47
2024,"Black or African American, Hispanic/Latino",1,3
2024,"Black or African American, Not Hispanic/Latino",221,290
2024,"NA, Hispanic/Latino",1,1
2024,"NA, NA",28,231
2024,"NA, Not Hispanic/Latino",10,16
2024,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",5,7
2024,"White, Hispanic/Latino",375,411
2024,"White, Not Hispanic/Latino",344,358
