year,race_ethnicity,age_group_5yr,n_victims,n_offenders,weighted,victim_rate_per_100k,offender_rate_per_100k
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,0,0,199025,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",5-9,0,0,226414,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",10-14,0,0,272742,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",15-19,1,3,260526,0.38383884909759486,1.1515165472927846
2021,"American Indian or Alaska Native, Hispanic/Latino",20-24,0,0,221230,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",25-29,1,0,211504,0.4728042968454497,0
2021,"American Indian or Alaska Native, Hispanic/Latino",30-34,0,2,226979,0,0.8811387837641367
2021,"American Indian or Alaska Native, Hispanic/Latino",35-39,1,0,224505,0.4454243780762121,0
2021,"American Indian or Alaska Native, Hispanic/Latino",40-44,1,0,214066,0.46714564666971875,0
2021,"American Indian or Alaska Native, Hispanic/Latino",45-49,0,1,175694,0,0.569171400275479
2021,"American Indian or Alaska Native, Hispanic/Latino",50-54,0,0,153749,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",55-59,0,0,125356,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",60-64,0,0,109282,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",65-69,1,0,72258,1.3839298070801849,0
2021,"American Indian or Alaska Native, Hispanic/Latino",70-74,0,0,50376,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",75-79,0,0,31449,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",80+,0,0,27529,0,0
2021,"American Indian or Alaska Native, NA",0-4,4,0,NA,NA,NA
2021,"American Indian or Alaska Native, NA",5-9,1,0,NA,NA,NA
2021,"American Indian or Alaska Native, NA",10-14,1,0,NA,NA,NA
2021,"American Indian or Alaska Native, NA",15-19,2,16,NA,NA,NA
2021,"American Indian or Alaska Native, NA",20-24,8,17,NA,NA,NA
2021,"American Indian or Alaska Native, NA",25-29,8,17,NA,NA,NA
2021,"American Indian or Alaska Native, NA",30-34,8,10,NA,NA,NA
2021,"American Indian or Alaska Native, NA",35-39,8,11,NA,NA,NA
2021,"American Indian or Alaska Native, NA",40-44,13,4,NA,NA,NA
2021,"American Indian or Alaska Native, NA",45-49,6,1,NA,NA,NA
2021,"American Indian or Alaska Native, NA",50-54,4,2,NA,NA,NA
2021,"American Indian or Alaska Native, NA",55-59,5,3,NA,NA,NA
2021,"American Indian or Alaska Native, NA",60-64,1,0,NA,NA,NA
2021,"American Indian or Alaska Native, NA",65-69,3,1,NA,NA,NA
2021,"American Indian or Alaska Native, NA",70-74,1,0,NA,NA,NA
2021,"American Indian or Alaska Native, NA",80+,1,0,NA,NA,NA
2021,"American Indian or Alaska Native, NA",Unknown,1,2,NA,NA,NA
2021,"American Indian or Alaska Native, Not Hispanic/Latino",0-4,5,0,275066,1.8177455592475988,0
2021,"American Indian or Alaska Native, Not Hispanic/Latino",5-9,1,0,324232,0.3084211305484961,0
2021,"American Indian or Alaska Native, Not Hispanic/Latino",10-14,4,1,356502,1.1220133407386212,0.2805033351846553
2021,"American Indian or Alaska Native, Not Hispanic/Latino",15-19,8,13,366037,2.1855714039837504,3.551553531473594
2021,"American Indian or Alaska Native, Not Hispanic/Latino",20-24,13,22,327307,3.9718062858417325,6.721518329886009
2021,"American Indian or Alaska Native, Not Hispanic/Latino",25-29,18,21,315496,5.705302127443771,6.656185815351066
2021,"American Indian or Alaska Native, Not Hispanic/Latino",30-34,27,21,347087,7.779029465234941,6.050356250738288
2021,"American Indian or Alaska Native, Not Hispanic/Latino",35-39,10,13,328154,3.047349719948561,3.9615546359331293
2021,"American Indian or Alaska Native, Not Hispanic/Latino",40-44,24,17,314821,7.623379634776588,5.399893907966749
2021,"American Indian or Alaska Native, Not Hispanic/Latino",45-49,6,6,274666,2.184471321532334,2.184471321532334
2021,"American Indian or Alaska Native, Not Hispanic/Latino",50-54,12,5,297087,4.039220834301063,1.6830086809587763
2021,"American Indian or Alaska Native, Not Hispanic/Latino",55-59,4,3,304521,1.3135383109867629,0.9851537332400722
2021,"American Indian or Alaska Native, Not Hispanic/Latino",60-64,4,1,298912,1.3381864896692004,0.3345466224173001
2021,"American Indian or Alaska Native, Not Hispanic/Latino",65-69,6,0,234513,2.558493558992465,0
2021,"American Indian or Alaska Native, Not Hispanic/Latino",70-74,6,1,172953,3.469150578480859,0.5781917630801432
2021,"American Indian or Alaska Native, Not Hispanic/Latino",75-79,1,0,107771,0.9278934036057939,0
2021,"American Indian or Alaska Native, Not Hispanic/Latino",80+,0,0,99223,0,0
2021,"American Indian or Alaska Native, Not Hispanic/Latino",Unknown,2,0,NA,NA,NA
2021,"Asian, Hispanic/Latino",0-4,1,0,142912,0.699731303179579,0
2021,"Asian, Hispanic/Latino",5-9,0,0,121761,0,0
2021,"Asian, Hispanic/Latino",10-14,0,0,106178,0,0
2021,"Asian, Hispanic/Latino",15-19,0,1,84886,0,1.178050561930118
2021,"Asian, Hispanic/Latino",20-24,1,1,69294,1.4431263890091492,1.4431263890091492
2021,"Asian, Hispanic/Latino",25-29,1,0,57586,1.736533185149168,0
2021,"Asian, Hispanic/Latino",30-34,0,0,56669,0,0
2021,"Asian, Hispanic/Latino",35-39,0,0,45592,0,0
2021,"Asian, Hispanic/Latino",40-44,0,0,35367,0,0
2021,"Asian, Hispanic/Latino",45-49,0,1,30449,0,3.284180104436927
2021,"Asian, Hispanic/Latino",50-54,0,0,25324,0,0
2021,"Asian, Hispanic/Latino",55-59,0,0,20424,0,0
2021,"Asian, Hispanic/Latino",60-64,0,0,18914,0,0
2021,"Asian, Hispanic/Latino",65-69,0,0,14615,0,0
2021,"Asian, Hispanic/Latino",70-74,0,0,9143,0,0
2021,"Asian, Hispanic/Latino",75-79,1,0,5885,16.99235344095157,0
2021,"Asian, Hispanic/Latino",80+,0,0,5613,0,0
2021,"Asian, NA",0-4,1,0,NA,NA,NA
2021,"Asian, NA",10-14,1,0,NA,NA,NA
2021,"Asian, NA",15-19,3,7,NA,NA,NA
2021,"Asian, NA",20-24,4,9,NA,NA,NA
2021,"Asian, NA",25-29,4,7,NA,NA,NA
2021,"Asian, NA",30-34,7,6,NA,NA,NA
2021,"Asian, NA",35-39,0,7,NA,NA,NA
2021,"Asian, NA",40-44,4,2,NA,NA,NA
2021,"Asian, NA",45-49,3,1,NA,NA,NA
2021,"Asian, NA",50-54,5,0,NA,NA,NA
2021,"Asian, NA",55-59,3,0,NA,NA,NA
2021,"Asian, NA",60-64,4,0,NA,NA,NA
