year,race_ethnicity,age_group_5yr,sex,state,n_victims,n_offenders,weighted,victim_rate_per_100k,offender_rate_per_100k
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,AK,0,0,167,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,AL,0,0,1181,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,AR,0,0,834,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,AZ,0,0,3274,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,CA,0,0,20043,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,CO,0,0,2536,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,CT,0,0,738,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,DC,0,0,139,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,FL,0,0,3744,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,GA,0,0,2328,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,HI,0,0,419,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,IA,0,0,413,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,ID,0,0,1088,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,IL,0,0,3328,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,IN,0,0,987,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,KS,0,0,1187,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,KY,0,0,298,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,LA,0,0,1380,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,MA,0,0,818,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,MD,0,0,1630,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,MI,0,0,1170,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,MN,0,0,836,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,MO,0,0,324,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,MS,0,0,763,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,NC,0,0,1328,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,ND,0,0,297,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,NE,0,0,629,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,NJ,0,0,1280,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,NM,0,0,3341,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,NV,0,0,1821,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,NY,0,0,5120,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,OH,0,0,312,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,OK,0,0,4539,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,OR,0,0,1133,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,PA,0,0,2039,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,SC,0,0,1818,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,SD,0,0,465,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,TN,0,0,669,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,TX,0,0,11579,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,UT,0,0,1225,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,VA,0,0,1738,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,WA,0,0,3174,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,WI,0,0,855,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,WV,0,0,21,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Female,WY,0,0,386,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,AK,0,0,498,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,AL,0,0,1148,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,AR,0,0,742,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,AZ,0,0,3518,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,CA,0,0,28621,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,CO,0,0,4864,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,CT,0,0,203,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,DC,0,0,101,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,DE,0,0,71,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,FL,0,0,3144,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,GA,0,0,3097,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,HI,0,0,220,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,IA,0,0,224,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,ID,0,0,1313,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,IL,0,0,2809,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,IN,0,0,1136,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,KS,0,0,1613,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,KY,0,0,188,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,LA,0,0,593,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MA,0,0,702,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MD,0,0,446,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,ME,0,0,54,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MI,0,0,574,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MN,0,0,1602,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MO,0,0,1544,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MS,0,0,535,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,MT,0,0,221,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NC,0,0,2494,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NE,0,0,999,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NH,0,0,37,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NJ,0,0,1064,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NM,0,0,5370,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NV,0,0,1090,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,NY,0,0,3605,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,OH,0,0,1279,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,OK,0,0,1902,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,OR,0,0,3850,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,PA,0,0,1605,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,RI,0,0,217,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,SC,0,0,720,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,SD,0,0,92,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,TN,0,0,787,0,0
2021,"American Indian or Alaska Native, Hispanic/Latino",0-4,Male,TX,0,0,11366,0,0
