year,race_ethnicity,sex,n_victims,n_offenders,weighted,victim_rate_per_100k,offender_rate_per_100k
2021,"American Indian or Alaska Native, Hispanic/Latino",Female,3,2,1373023,0.21849597566828813,0.14566398377885875
2021,"American Indian or Alaska Native, Hispanic/Latino",Male,2,4,1429661,0.13989330337751396,0.2797866067550279
2021,"American Indian or Alaska Native, Not Hispanic/Latino",Female,76,45,2384590,3.187130701713922,1.887116862856927
2021,"American Indian or Alaska Native, Not Hispanic/Latino",Male,150,163,2359758,6.356584022598928,6.9074879712241675
2021,"Asian, Hispanic/Latino",Male,4,3,420941,0.9502519355444111,0.7126889516583084
2021,"Asian, Not Hispanic/Latino",Female,69,14,11379697,0.6063430335623171,0.1230261227517745
2021,"Asian, Not Hispanic/Latino",Male,112,109,10564347,1.0601696441815096,1.0317722429980765
2021,"Black or African American, Hispanic/Latino",Female,12,6,1404350,0.8544878413500908,0.4272439206750454
2021,"Black or African American, Hispanic/Latino",Male,69,70,1388214,4.970415224165727,5.042450227414505
2021,"Black or African American, Not Hispanic/Latino",Female,1611,1018,23063636,6.985021789279019,4.413874724696488
2021,"Black or African American, Not Hispanic/Latino",Male,8010,8447,21387410,37.45194018350048,39.49519834332441
2021,"NA, Hispanic/Latino",Female,12,6,10774524,0.11137382960026819,0.055686914800134095
2021,"NA, Hispanic/Latino",Male,44,44,11276016,0.39020874039199666,0.39020874039199666
2021,"NA, Not Hispanic/Latino",Female,19,4,911912,2.0835343761240117,0.43863881602610777
2021,"NA, Not Hispanic/Latino",Male,32,38,937038,3.415016253342981,4.05533180084479
2021,"Native Hawaiian or Other Pacific Islander, Hispanic/Latino",Female,1,2,65168,1.5344954578934447,3.0689909157868893
2021,"Native Hawaiian or Other Pacific Islander, Hispanic/Latino",Male,2,4,69466,2.879106325396597,5.758212650793194
2021,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",Female,5,7,397529,1.2577698733928846,1.7608778227500383
2021,"Native Hawaiian or Other Pacific Islander, Not Hispanic/Latino",Male,24,25,395639,6.066136048266222,6.318891716943982
2021,"White, Hispanic/Latino",Female,409,237,16849181,2.427417688729203,1.4065965580166775
2021,"White, Hispanic/Latino",Male,1603,1621,17050318,9.401584181597082,9.507154060117823
2021,"White, Not Hispanic/Latino",Female,1844,1011,98502742,1.8720291055451026,1.0263673675195761
2021,"White, Not Hispanic/Latino",Male,3505,3926,97078914,3.610464781260326,4.044132590935247
2022,"American Indian or Alaska Native, Hispanic/Latino",Female,1,1,1395465,0.07166070091331563,0.07166070091331563
2022,"American Indian or Alaska Native, Hispanic/Latino",Male,3,3,1476166,0.20322917612246863,0.20322917612246863
2022,"American Indian or Alaska Native, Not Hispanic/Latino",Female,82,59,2288166,3.5836560808962283,2.5784842533277743
2022,"American Indian or Alaska Native, Not Hispanic/Latino",Male,194,184,2223978,8.723107872469962,8.273463136775634
2022,"Asian, Hispanic/Latino",Female,2,0,424446,0.4712024615616592,0
2022,"Asian, Hispanic/Latino",Male,2,5,434078,0.4607466860794604,1.151866715198651
2022,"Asian, Not Hispanic/Latino",Female,75,20,11671704,0.6425796953041304,0.17135458541443477
2022,"Asian, Not Hispanic/Latino",Male,126,138,10905162,1.1554161231167404,1.2654557538897635
